Date,USO
2007-09-17,1.47181298759302
2007-09-18,2.27460201993084
2007-09-19,-0.37066720984153
2007-09-20,1.34261080556455
2007-09-21,-0.8140510514269301
2007-09-24,-0.51496460436055
2007-09-25,-1.21319961177613
2007-09-26,1.0316047158997799
2007-09-27,2.82009395753495
2007-09-28,-1.40290040042403
2007-10-01,-1.53477060806987
2007-10-02,0.06494723169345
2007-10-03,-0.55167936797535
2007-10-04,2.15369551062661
2007-10-05,-0.52707553861882
2007-10-08,-2.44059252473654
2007-10-09,1.0533311735790398
2007-10-10,1.62866444206304
2007-10-11,1.90704801579975
2007-10-12,0.64475546469571
2007-10-15,2.9531234375
2007-10-16,1.65427836779903
2007-10-17,-0.5225529774908899
2007-10-18,2.3112728040495
2007-10-19,-1.51092713835785
2007-10-22,-0.89365208361114
